what,kind,bundleId,bundleVersion,description,time
deactivated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1306783012638
activated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1306783012763
deactivated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1306783013669
activated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1306783013919
deactivated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1306783014044
activated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1306783015419
deactivated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1306783018450
activated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1306783018450
deactivated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1306783018528
activated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1306783039075
deactivated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1306783039841
deactivated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1306783040700
activated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1306783046513
deactivated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1306783048935
activated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1306783060685
deactivated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1306783061638
activated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1306783062544
deactivated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1306783067013
activated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1306783073810
deactivated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1306783074903
activated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1306783074903
deactivated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1306783074997
activated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1306783085872
deactivated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1306783086825
activated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1306783087857
deactivated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1306783090841
activated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1306783090841
deactivated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1306783090966
activated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1306783096044
deactivated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1306783097075
activated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1306783103169
deactivated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1306783103935
activated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1306783177122
deactivated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1306783178013
activated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1306783178278
deactivated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1306783178372
activated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1306783656685
